City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,pozo colorado,PY,70.86,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
5,atuona,PF,77.16,clear sky,-9.8,-139.0333,Villa Enata
11,praia da vitoria,PT,62.76,few clouds,38.7333,-27.0667,Hotel Branco I
13,bereda,ES,60.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
14,port elizabeth,ZA,68.31,overcast clouds,-33.918,25.5701,39 On Nile Guest House
16,san carlos de bariloche,AR,53.35,clear sky,-41.1456,-71.3082,Hotel Patagonia
17,rikitea,PF,69.39,clear sky,-23.1203,-134.9692,People ThankYou
22,esperance,AU,69.4,clear sky,-33.8667,121.9,Hospitality Esperance
23,hobart,AU,71.91,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
27,crotone,IT,63.19,clear sky,39.0851,17.1178,Helios Hotel
31,hermanus,ZA,62.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
33,alexandria,EG,68.54,scattered clouds,31.2156,29.9553,Royal Crown Hotel
36,cape town,ZA,63.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
37,busselton,AU,67.86,scattered clouds,-33.65,115.3333,Observatory Guest House
39,lebu,CL,50.88,broken clouds,-37.6167,-73.65,Hostal Las Lilas
40,bredasdorp,ZA,59.13,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
41,moerai,PF,72.41,few clouds,-22.4333,-151.3333,Le Manotel
43,port alfred,ZA,69.19,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
45,los llanos de aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
47,borujerd,IR,57.29,clear sky,33.8973,48.7516,Zagros International Hotel
49,clarence town,AU,75.11,light rain,-32.5833,151.7833,River Downs Cottage
52,fare,PF,77.23,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
54,kibala,TD,75.15,clear sky,9.1104,18.3463,Prasant Hotels
56,ambilobe,MG,69.39,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
57,kruisfontein,ZA,65.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
58,mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,kapoeta,SS,75.31,light rain,4.7717,33.5903,Eastgate Hotel
60,saint-philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
61,byron bay,AU,68.94,light rain,-28.65,153.6167,Backpackers Inn
64,torbay,CA,52.75,light intensity drizzle,47.6666,-52.7314,Gallows Cove
65,maragogi,BR,74.32,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
66,lokachi,UA,50.76,overcast clouds,50.737,24.6494,N/A
69,pocatello,US,60.48,clear sky,42.8713,-112.4455,TownePlace Suites by Marriott Pocatello
70,poum,NC,77.32,overcast clouds,-20.2333,164.0167,N/A
71,vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
72,codrington,AU,66.83,clear sky,-38.2667,141.9667,N/A
74,puerto ayora,EC,67.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,santo antonio do ica,BR,74.46,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
76,camana,PE,62.44,scattered clouds,-16.6228,-72.7111,Hostal Morales
80,catanduva,BR,71.47,overcast clouds,-21.1378,-48.9728,Colonial Hotel
81,sitka,US,55.29,light rain,57.0531,-135.33,Westmark Sitka
82,hami,CN,61.56,broken clouds,42.8,93.45,Laoyutang Resort
83,mataura,NZ,56.48,light rain,-46.1927,168.8643,Ellie's Villa
84,new norfolk,AU,72.57,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
85,tricase,IT,58.35,clear sky,39.9304,18.3553,Hotel Adriatico
87,port lincoln,AU,66.96,clear sky,-34.7333,135.8667,Port Lincoln Hotel
89,horsham,GB,55.92,clear sky,51.064,-0.3272,Springfields Hotel
90,comodoro rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
91,lagoa,PT,64.49,overcast clouds,39.05,-27.9833,Casa Das Faias
92,bluff,NZ,56.8,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
97,monitos,CO,75.33,overcast clouds,8.25,-76.05,Finca Aleman Gonzalez
100,avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
103,detchino,RU,50.45,overcast clouds,54.8092,36.3075,house 48
106,flinders,AU,73.06,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
107,uberaba,BR,73.98,clear sky,-19.7483,-47.9319,Tamareiras Park Hotel
108,gasa,PS,70.05,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
110,panaba,MX,75.72,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
111,lompoc,US,69.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
114,pascagoula,US,51.85,clear sky,30.3658,-88.5561,Regency Inn
116,jalu,LY,68.04,broken clouds,29.0331,21.5482,صاحبة الفخامة
117,tautira,PF,75.88,light rain,-17.7333,-149.15,Pension Oaoa
119,mattru,SL,72.55,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
120,san patricio,US,67.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
122,el alto,PE,62.08,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
124,chuy,UY,60.48,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
125,montijo,PT,69.71,broken clouds,38.7067,-8.9739,TRYP by Wyndham Montijo Parque Hotel
126,ponta do sol,PT,73.71,light rain,32.6667,-17.1,Hotel do Campo
128,shaowu,CN,71.71,few clouds,27.3409,117.4831,Yijie Express Hotel
133,big bend,SZ,73.49,overcast clouds,-26.8167,31.9333,The Lebombo Villa B+B
134,khandbari,NP,68.25,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
135,jumla,NP,53.24,clear sky,29.2747,82.1838,Royal Garden Hotel
137,axim,GH,76.14,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
138,bani walid,LY,62.53,clear sky,31.7566,13.9942,مركزGLC للطلاء
142,narragansett,US,52.45,scattered clouds,41.4501,-71.4495,Hampton Inn South Kingstown - Newport Area
144,fortuna,US,54.93,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
147,bisira,PA,60.37,overcast clouds,8.5196,-81.7115,N/A
148,virginia beach,US,51.82,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
149,mastic beach,US,51.98,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
150,bambous virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
152,imbituba,BR,70.86,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
153,saldanha,ZA,55.45,few clouds,-33.0117,17.9442,Blue Bay Lodge
154,korhogo,CI,72.41,few clouds,9.45,-5.6333,Hôtel Tchinbota
157,beloha,MG,67.12,scattered clouds,-25.1667,45.05,N/A
158,romitan,UZ,51.75,few clouds,39.9343,64.3814,Hotel Temur
162,rocha,UY,59.5,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
164,raga,SS,68.83,broken clouds,8.4596,25.678,N/A
165,arraial do cabo,BR,72.01,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
170,north bend,US,58.91,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
172,mana,GF,78.49,overcast clouds,5.6592,-53.7767,LE SAMANA
174,pacific grove,US,68.65,clear sky,36.6177,-121.9166,Lovers Point Inn
175,nemuro,JP,51.26,few clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
178,tuatapere,NZ,52.84,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
181,sidi ali,DZ,75.25,overcast clouds,36.0998,0.4206,Khaled
184,nishihara,JP,76.66,overcast clouds,26.1842,127.7558,Minshuku Agaihama
185,luena,AO,61.25,light rain,-11.7833,19.9167,Hotel Kandamba
186,port macquarie,AU,71.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
188,kismayo,SO,77.88,overcast clouds,-0.3582,42.5454,Agan-Hotel
190,acapulco,MX,78.08,moderate rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
191,bar harbor,US,62.28,overcast clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
192,bonfim,BR,76.96,light rain,3.0833,-59.95,N/A
193,puerto escondido,MX,78.24,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
195,asyut,EG,67.37,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
198,airai,TL,76.96,overcast clouds,-8.9266,125.4092,N/A
200,east london,ZA,69.58,overcast clouds,-33.0153,27.9116,Tu Casa
202,nitra,SK,55.63,scattered clouds,48.3076,18.0845,Alexander's
203,itarema,BR,78.28,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,nioro,GM,72.93,overcast clouds,13.35,-15.75,N/A
207,cuamba,MZ,68.13,few clouds,-14.8031,36.5372,Hotel Vision
209,coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Hotel San Juan
210,barreirinhas,BR,78.46,clear sky,-2.7469,-42.8264,Gran Lençóis Flat Residence
215,garissa,KE,72.28,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
217,turayf,SA,64.65,clear sky,31.6725,38.6637,Turaif
218,viedma,AR,54.82,few clouds,-40.8135,-62.9967,Hotel Cristal
221,touros,BR,77.32,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
222,fowa,NG,73.45,overcast clouds,8.9167,6.4,N/A
225,faya,SA,51.91,clear sky,18.3851,42.4509,شيلة نسايم
227,vila franca do campo,PT,63.01,light rain,37.7167,-25.4333,Pestana Bahia Praia
228,victoria,HK,77.05,overcast clouds,22.2855,114.1577,Mini Central
229,bafia,CM,67.71,overcast clouds,4.75,11.2333,Hotel born beyem
232,dinguiraye,GN,70.45,clear sky,11.3,-10.7167,N/A
234,buraydah,SA,64.85,overcast clouds,26.326,43.975,Mövenpick Qassim
235,castro,BR,57.97,light rain,-24.7911,-50.0119,CHACARA BAILLY
236,belmonte,BR,73.4,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
237,teguise,ES,64.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
240,kaitangata,NZ,59.11,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
241,gazanjyk,TM,50.29,clear sky,39.2446,55.5154,Railway motel
243,katsuura,JP,57.72,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
248,biltine,TD,77.65,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
251,punta alta,AR,62.04,broken clouds,-38.8759,-62.0736,Center Hotel Punta Alta
252,ribeira grande,PT,62.78,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
256,camacupa,AO,61.12,broken clouds,-12.0167,17.4833,N/A
258,iwaki,JP,65.01,few clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
259,huarmey,PE,61.72,few clouds,-10.0681,-78.1522,Hotel Miramar
260,boende,CD,70.25,overcast clouds,-0.2167,20.8667,N/A
262,nieuwpoort,BE,52.09,clear sky,51.1244,2.7735,Hotel Gemeente Huis
263,pisco,PE,59.05,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
267,vila velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
268,glendive,US,55.18,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
269,mandalgovi,MN,51.33,few clouds,45.7625,106.2708,В.Ганбат
273,tessalit,ML,77.83,clear sky,20.1986,1.0114,N/A
274,west wendover,US,62.56,overcast clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
275,mundi,IN,74.43,clear sky,22.0667,76.5,TIWARI NIWAS
276,moissala,TD,70.05,light rain,8.3404,17.7663,N/A
277,carnarvon,AU,73.96,clear sky,-24.8667,113.6333,Hospitality Carnarvon
279,saint-pierre,RE,74.57,few clouds,-21.3393,55.4781,Alize Plage
281,saint george,US,77.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
282,mar del plata,AR,59.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
284,caravelas,BR,72.86,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
285,kollam,IN,77.65,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
286,pietroasa,RO,50.49,clear sky,46.5833,22.55,Casa Otilia
289,yurimaguas,PE,73.08,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
291,general pico,AR,56.79,clear sky,-35.6566,-63.7568,Euskadi Hotel
292,monrovia,LR,75.92,moderate rain,6.3005,-10.7969,Sunset Inn
293,miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
295,mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
296,kiama,AU,73.26,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
297,grand-santi,GF,74.28,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
298,san quintin,MX,69.13,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
299,tura,IN,78.69,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
300,sinnamary,GF,78.26,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
301,smithers,CA,59.32,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
304,koulikoro,ML,78.62,clear sky,14.0,-7.75,N/A
306,faranah,GN,69.4,clear sky,10.0404,-10.7434,Chez mon oncle
307,black diamond,US,60.44,clear sky,47.3087,-122.0032,Lake Sawyer RV Resort
309,devonport,AU,65.08,clear sky,-41.1667,146.35,Gateway Hotel by Nightcap Plus
310,sabaudia,IT,68.47,clear sky,41.3003,13.0282,Oasi di Kufra
311,laguna,US,75.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
312,baruun-urt,MN,51.48,few clouds,46.6806,113.2792,Ахмадын амралт сувилал
313,odweyne,SO,66.83,few clouds,9.4092,45.064,Eng Hiirey House
314,port-gentil,GA,75.74,moderate rain,-0.7193,8.7815,Fengshui Residence
315,muros,ES,65.08,moderate rain,42.7762,-9.0603,Apartment Av. Castelao
316,kidal,ML,77.29,clear sky,18.4411,1.4078,N/A
320,tucuman,AR,59.0,overcast clouds,-26.8241,-65.2226,Hotel Premier
323,san luis,AR,54.39,overcast clouds,-33.295,-66.3356,Huarpes Hotel
324,qobustan,AZ,60.08,scattered clouds,40.0824,49.412,N/A
326,victorville,US,76.42,clear sky,34.5361,-117.2912,Travel Inn & Suites
329,souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
330,nichinan,JP,69.48,clear sky,31.6,131.3667,Guest House Aki
331,tadine,NC,75.65,broken clouds,-21.55,167.8833,N/A
332,aguimes,ES,68.63,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
333,itacarambi,BR,74.46,few clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
334,mwense,ZM,66.51,broken clouds,-10.3845,28.698,Mwense Council Guest House
336,jining,CN,64.4,clear sky,35.405,116.5814,Yunhe Star Hotel
